Timestamp,Time [min],Time [s],Voltage [V],Current [A],Temperature [degC],Capacity [Ah],Time_diff,Cumulative_Capacity_Ah,SOC [-],Rounded_Time
2018-12-18 06:50:46,0.0,0.0,4.18548,-0.04087,-9.77974,-0.0,0.0,0.0,1.0083935463450844,0
2018-12-18 06:50:47,0.008383333333404153,0.5030000000042492,4.1752,-0.0945,-9.8849,-1e-05,2.888888888871103e-05,-1.277677777789007e-05,0.9999958977092142,1
2018-12-18 06:50:48,0.026650000000032984,1.599000000001979,4.16694,-0.09706,-9.8849,-4e-05,2.7777777777373558e-05,-4.2117088888933605e-05,0.9999844417069372,2
2018-12-18 06:50:49,0.043366666666649206,2.6019999999989523,4.16357,-0.09706,-9.8849,-7e-05,2.916666666553485e-05,-6.908583888885001e-05,0.999973911686985,3
2018-12-18 06:50:50,0.058383333333404154,3.503000000004249,4.16205,-0.09706,-9.77974,-9e-05,2.944444444437977e-05,-9.323842222232362e-05,0.9999644812467757,4
2018-12-18 06:50:51,0.07505000000007082,4.503000000004249,4.16087,-0.0945,-9.77974,-0.00012,2.8333333333042295e-05,-0.00012005873333343191,0.9999540091851814,5
2018-12-18 06:50:52,0.09331666666669965,5.599000000001979,4.1602,-0.09706,-9.77974,-0.00015,2.8055555556218476e-05,-0.00014939477777781835,0.9999425548488361,6
2018-12-18 06:50:53,0.1084500000000844,6.507000000005064,4.15986,-0.09706,-9.77974,-0.00017,2.916666666755595e-05,-0.00017366142222235149,0.9999330798731634,7
2018-12-18 06:50:54,0.12503333333334013,7.5020000000004075,4.15952,-0.09706,-9.77974,-0.0002,2.8055555554197377e-05,-0.0002003497722222289,0.9999226593361348,8
2018-12-18 06:50:55,0.1417000000000068,8.502000000000407,4.15919,-0.09706,-9.77974,-0.00023,2.8333333333042295e-05,-0.00022731088333334008,0.999912132298807,9
2018-12-18 06:50:56,0.1600833333333867,9.605000000003201,4.15885,-0.09706,-9.77974,-0.00025,2.9722222223224686e-05,-0.0002568399222223031,0.9999006026072689,10
2018-12-18 06:50:57,0.17665000000003298,10.599000000001979,4.15868,-0.0945,-9.77974,-0.00028,2.750000000054974e-05,-0.00028328300000005037,0.9998902778374299,11
2018-12-18 06:50:58,0.19170000000000678,11.502000000000407,4.15851,-0.09706,-9.77974,-0.00031,2.8611111109866114e-05,-0.00030741981666667864,0.9998808535533573,12
2018-12-18 06:50:59,0.20838333333340414,12.50300000000425,4.15834,-0.09706,-9.77974,-0.00033,2.8333333333042295e-05,-0.00033412913333345415,0.9998704248298381,13
2018-12-18 06:51:00,0.22503333333334014,13.502000000000407,4.15817,-0.0945,-9.77974,-0.00036,2.8055555554197377e-05,-0.0003609914611111318,0.9998599363627249,14
2018-12-18 06:51:01,0.2417000000000068,14.502000000000407,4.15716,-0.10472,-9.77974,-0.00039,2.8333333333042295e-05,-0.0003887388361111271,0.9998491023265768,15
2018-12-18 06:51:02,0.25835000000006403,15.501000000003842,4.12817,-0.32692,-9.77974,-0.00044,2.8333333333042295e-05,-0.00045037240833364835,0.9998250373348653,16
