Timestamp,Time [min],Time [s],Voltage [V],Current [A],Temperature [degC],Capacity [Ah],Time_diff,Cumulative_Capacity_Ah,SOC [-],Rounded_Time
2018-11-13 23:07:16,0.0,0.0,4.18632,-0.04597,9.04363,-0.0,0.0,0.0,1.0031629129013317,0
2018-11-13 23:07:17,0.009966666666635622,0.5979999999981374,4.18262,-0.09706,9.04363,-1e-05,2.8055555554197377e-05,-1.5211752777730523e-05,0.9999950663185574,1
2018-11-13 23:07:17,0.025016666666730695,1.5010000000038417,4.18228,-0.0945,9.04363,-4e-05,2.8055555558239574e-05,-3.8986613888995514e-05,0.9999860823325875,2
2018-11-13 23:07:19,0.04331666666669965,2.599000000001979,4.18211,-0.0945,9.04363,-7e-05,2.750000000054974e-05,-6.8019602777837e-05,0.9999751114182412,3
2018-11-13 23:07:20,0.05998333333336632,3.599000000001979,4.18194,-0.09706,9.04363,-9e-05,2.8055555554197377e-05,-9.448151388894472e-05,0.9999651120564343,4
2018-11-13 23:07:21,0.07663333333330229,4.597999999998137,4.18177,-0.0945,9.04363,-0.00012,2.777777777535246e-05,-0.00012084108611106014,0.9999551513661946,5
2018-11-13 23:07:21,0.09168333333339736,5.501000000003842,4.1816,-0.0945,9.04363,-0.00015,2.8055555558239574e-05,-0.00014468350277788153,0.9999461418524979,6
2018-11-13 23:07:22,0.10836666666655219,6.5019999999931315,4.18144,-0.0945,9.04363,-0.00017,2.8333333333042295e-05,-0.00017110481944426553,0.9999361578304197,7
2018-11-13 23:07:23,0.12503333333321887,7.5019999999931315,4.18144,-0.0945,9.04363,-0.0002,2.8611111107845015e-05,-0.00019742308611093578,0.9999262127486217,8
2018-11-13 23:07:25,0.14331666666669965,8.599000000001979,4.18127,-0.0945,9.04363,-0.00023,2.8055555554197377e-05,-0.00022664315833340417,0.9999151711396861,9
2018-11-13 23:07:25,0.15835000000006402,9.501000000003842,4.1811,-0.0945,9.04363,-0.00025,2.7777777779394657e-05,-0.0002503910583334545,0.9999061973417144,10
2018-11-13 23:07:26,0.17506666666668025,10.504000000000815,4.16407,-0.4393,9.04363,-0.00032,2.8611111111887213e-05,-0.0003285439388890044,0.9998766651236656,11
2018-11-13 23:07:27,0.19168333333339735,11.501000000003842,4.12986,-1.1238,9.04363,-0.00053,2.8611111111887213e-05,-0.0005503538861129455,0.9997928481270274,12
2018-11-13 23:07:29,0.21000000000009703,12.60000000000582,4.09311,-1.83128,9.04363,-0.00098,2.8055555558239574e-05,-0.0010161506111141568,0.9996168340076327,13
2018-11-13 23:07:29,0.225,13.5,4.05738,-2.56175,9.04363,-0.00153,2.8055555554197377e-05,-0.0015806520944456844,0.9994035215772258,14
2018-11-13 23:07:30,0.24169999999988553,14.501999999993131,4.02046,-3.32032,9.04363,-0.00233,2.8611111107845015e-05,-0.0024040347194397905,0.999092383778516,15
2018-11-13 23:07:31,0.25836666666655217,15.501999999993131,3.98321,-4.10698,9.04363,-0.00336,2.8333333333042295e-05,-0.003442696697216581,0.9986998967481132,16
2018-11-13 23:07:33,0.27668333333325185,16.60099999999511,3.94427,-4.9345,9.04363,-0.00473,2.8333333333042295e-05,-0.004838716583329032,0.9981723721913212,17
2018-11-13 23:07:33,0.29168333333339735,17.50100000000384,3.90652,-5.79012,8.93848,-0.00607,2.8333333333042295e-05,-0.006194385752786422,0.9976600952639728,18
2018-11-13 23:07:35,0.31001666666658517,18.60099999999511,4.01136,-2.91932,8.93848,-0.00737,2.8055555554197377e-05,-0.007410051244443656,0.9972007225816252,19
2018-11-13 23:07:35,0.3250166666667307,19.50100000000384,4.01338,-2.90145,8.93848,-0.0081,2.8611111111887213e-05,-0.008137250975006258,0.9969259301382074,20
2018-11-13 23:07:37,0.34331666666669963,20.59900000000198,3.91494,-5.37125,8.93848,-0.00938,2.8333333333042295e-05,-0.009494453538896297,0.9964130737755468,21
2018-11-13 23:07:37,0.358350000000064,21.50100000000384,3.96871,-3.79793,9.04363,-0.01052,2.8055555558239574e-05,-0.010580905047228261,0.9960025281550221,22
